phi_i theta_i phi_o theta_o brdf
60.0 -180.0 7.0 0.0 0.00872
60.0 -180.0 8.0 0.0 0.00826
60.0 -180.0 9.0 0.0 0.00869
60.0 -180.0 10.0 0.0 0.0086
60.0 -180.0 11.0 0.0 0.00897
60.0 -180.0 12.0 0.0 0.00925
60.0 -180.0 13.0 0.0 0.00933
60.0 -180.0 14.0 0.0 0.0097
60.0 -180.0 15.0 0.0 0.00957
60.0 -180.0 16.0 0.0 0.0101
60.0 -180.0 17.0 0.0 0.0102
60.0 -180.0 18.0 0.0 0.011
60.0 -180.0 19.0 0.0 0.0108
60.0 -180.0 20.0 0.0 0.0115
60.0 -180.0 21.0 0.0 0.0116
60.0 -180.0 22.0 0.0 0.0118
60.0 -180.0 23.0 0.0 0.012
60.0 -180.0 24.0 0.0 0.013
60.0 -180.0 25.0 0.0 0.0137
60.0 -180.0 26.0 0.0 0.0142
60.0 -180.0 27.0 0.0 0.015
60.0 -180.0 28.0 0.0 0.0152
60.0 -180.0 29.0 0.0 0.0162
60.0 -180.0 30.0 0.0 0.0176
60.0 -180.0 31.0 0.0 0.0179
60.0 -180.0 32.0 0.0 0.0197
60.0 -180.0 33.0 0.0 0.0207
60.0 -180.0 34.0 0.0 0.0221
60.0 -180.0 35.0 0.0 0.0235
60.0 -180.0 36.0 0.0 0.0254
60.0 -180.0 37.0 0.0 0.0273
60.0 -180.0 38.0 0.0 0.0291
60.0 -180.0 39.0 0.0 0.0321
60.0 -180.0 40.0 0.0 0.0351
60.0 -180.0 41.0 0.0 0.039
60.0 -180.0 42.0 0.0 0.0416
60.0 -180.0 43.0 0.0 0.0474
60.0 -180.0 44.0 0.0 0.0511
60.0 -180.0 45.0 0.0 0.0582
60.0 -180.0 46.0 0.0 0.0638
60.0 -180.0 54.0 0.0 0.173
60.0 -180.0 55.0 0.0 0.193
60.0 -180.0 56.0 0.0 0.216
60.0 -180.0 57.0 0.0 0.249
60.0 -180.0 58.0 0.0 0.274
60.0 -180.0 59.0 0.0 0.293
60.0 -180.0 60.0 0.0 0.315
60.0 -180.0 61.0 0.0 0.344
60.0 -180.0 62.0 0.0 0.374
60.0 -180.0 63.0 0.0 0.404
60.0 -180.0 64.0 0.0 0.438
60.0 -180.0 65.0 0.0 0.448
60.0 -180.0 66.0 0.0 0.44
60.0 -180.0 67.0 0.0 0.406
60.0 -180.0 68.0 0.0 0.406
60.0 -180.0 69.0 0.0 0.383
60.0 -180.0 70.0 0.0 0.359
60.0 -180.0 71.0 0.0 0.316
60.0 -180.0 72.0 0.0 0.283
60.0 -180.0 73.0 0.0 0.253
60.0 -180.0 74.0 0.0 0.222
60.0 -180.0 75.0 0.0 0.197
60.0 -180.0 76.0 0.0 0.172
60.0 -180.0 77.0 0.0 0.147
60.0 -180.0 78.0 0.0 0.129
60.0 -180.0 79.0 0.0 0.116
60.0 -180.0 80.0 0.0 0.0983
60.0 -180.0 81.0 0.0 0.0887
60.0 -180.0 82.0 0.0 0.0798
60.0 -180.0 83.0 0.0 0.0706
60.0 -180.0 84.0 0.0 0.0637
60.0 -180.0 85.0 0.0 0.0566
60.0 -180.0 86.0 0.0 0.0513
60.0 -180.0 87.0 0.0 0.0461
60.0 -180.0 88.0 0.0 0.0412
60.0 -180.0 89.0 0.0 0.0391
60.0 -180.0 90.0 0.0 0.0354
75.0 -180.0 -90.0 0.0 0.00554
75.0 -180.0 -7.0 0.0 0.00554
75.0 -180.0 -6.0 0.0 0.00562
75.0 -180.0 -5.0 0.0 0.00577
75.0 -180.0 -4.0 0.0 0.00597
75.0 -180.0 -3.0 0.0 0.00606
75.0 -180.0 -2.0 0.0 0.00623
75.0 -180.0 -1.0 0.0 0.00632
75.0 -180.0 0.0 0.0 0.00652
75.0 -180.0 1.0 0.0 0.0067
75.0 -180.0 2.0 0.0 0.0068
75.0 -180.0 3.0 0.0 0.0068
75.0 -180.0 4.0 0.0 0.00688
75.0 -180.0 5.0 0.0 0.00695
75.0 -180.0 6.0 0.0 0.00709
75.0 -180.0 7.0 0.0 0.00701
75.0 -180.0 8.0 0.0 0.00725
75.0 -180.0 9.0 0.0 0.00732
75.0 -180.0 10.0 0.0 0.00744
75.0 -180.0 11.0 0.0 0.00759
75.0 -180.0 12.0 0.0 0.00764
75.0 -180.0 13.0 0.0 0.00776
75.0 -180.0 14.0 0.0 0.00793
75.0 -180.0 15.0 0.0 0.00797
75.0 -180.0 16.0 0.0 0.00806
75.0 -180.0 17.0 0.0 0.00802
75.0 -180.0 18.0 0.0 0.00817
75.0 -180.0 19.0 0.0 0.00815
75.0 -180.0 20.0 0.0 0.00811
75.0 -180.0 21.0 0.0 0.00813
75.0 -180.0 22.0 0.0 0.00872
75.0 -180.0 23.0 0.0 0.00826
75.0 -180.0 24.0 0.0 0.00869
75.0 -180.0 25.0 0.0 0.0086
75.0 -180.0 26.0 0.0 0.00897
75.0 -180.0 27.0 0.0 0.00925
75.0 -180.0 28.0 0.0 0.00933
75.0 -180.0 29.0 0.0 0.0097
75.0 -180.0 30.0 0.0 0.00957
75.0 -180.0 31.0 0.0 0.0101
75.0 -180.0 32.0 0.0 0.0102
75.0 -180.0 33.0 0.0 0.011
75.0 -180.0 34.0 0.0 0.0108
75.0 -180.0 35.0 0.0 0.0115
75.0 -180.0 36.0 0.0 0.0116
75.0 -180.0 37.0 0.0 0.0118
75.0 -180.0 38.0 0.0 0.012
75.0 -180.0 39.0 0.0 0.013
75.0 -180.0 40.0 0.0 0.0137
75.0 -180.0 41.0 0.0 0.0142
75.0 -180.0 42.0 0.0 0.015
75.0 -180.0 43.0 0.0 0.0152
75.0 -180.0 44.0 0.0 0.0162
75.0 -180.0 45.0 0.0 0.0176
75.0 -180.0 46.0 0.0 0.0179
75.0 -180.0 47.0 0.0 0.0197
75.0 -180.0 48.0 0.0 0.0207
75.0 -180.0 49.0 0.0 0.0221
75.0 -180.0 50.0 0.0 0.0235
75.0 -180.0 51.0 0.0 0.0254
75.0 -180.0 52.0 0.0 0.0273
75.0 -180.0 53.0 0.0 0.0291
75.0 -180.0 54.0 0.0 0.0321
75.0 -180.0 55.0 0.0 0.0351
75.0 -180.0 56.0 0.0 0.039
75.0 -180.0 57.0 0.0 0.0416
75.0 -180.0 58.0 0.0 0.0474
75.0 -180.0 59.0 0.0 0.0511
75.0 -180.0 60.0 0.0 0.0582
75.0 -180.0 61.0 0.0 0.0638
75.0 -180.0 69.0 0.0 0.173
75.0 -180.0 70.0 0.0 0.193
75.0 -180.0 71.0 0.0 0.216
75.0 -180.0 72.0 0.0 0.249
75.0 -180.0 73.0 0.0 0.274
75.0 -180.0 74.0 0.0 0.293
75.0 -180.0 75.0 0.0 0.315
75.0 -180.0 76.0 0.0 0.344
75.0 -180.0 77.0 0.0 0.374
75.0 -180.0 78.0 0.0 0.404
