#phi_i theta_i phi_o theta_o brdf
41.4 -180.0 -15.0 0.0 0.01658321
41.4 -180.0 -14.0 0.0 0.0165964
41.4 -180.0 -13.0 0.0 0.01661489
41.4 -180.0 -12.0 0.0 0.01668084
41.4 -180.0 -11.0 0.0 0.01675205
41.4 -180.0 -10.0 0.0 0.01679136
41.4 -180.0 -9.0 0.0 0.01676697
41.4 -180.0 -8.0 0.0 0.01679332
41.4 -180.0 -7.0 0.0 0.01687048
41.4 -180.0 -6.0 0.0 0.01693843
41.4 -180.0 -5.0 0.0 0.01694842
41.4 -180.0 -4.0 0.0 0.01696233
41.4 -180.0 -3.0 0.0 0.01705633
41.4 -180.0 -2.0 0.0 0.01715417
41.4 -180.0 -1.0 0.0 0.01721918
41.4 -180.0 0.0 0.0 0.01735455
41.4 -180.0 1.0 0.0 0.01745023
41.4 -180.0 2.0 0.0 0.01750852
41.4 -180.0 3.0 0.0 0.0175809
41.4 -180.0 4.0 0.0 0.01765051
41.4 -180.0 5.0 0.0 0.01774331
41.4 -180.0 6.0 0.0 0.01777241
41.4 -180.0 7.0 0.0 0.01777166
41.4 -180.0 8.0 0.0 0.01779344
41.4 -180.0 9.0 0.0 0.01782681
41.4 -180.0 10.0 0.0 0.01783607
41.4 -180.0 11.0 0.0 0.01781518
41.4 -180.0 12.0 0.0 0.0177756
41.4 -180.0 13.0 0.0 0.01781277
41.4 -180.0 14.0 0.0 0.01797904
41.4 -180.0 15.0 0.0 0.01811368
41.4 -180.0 16.0 0.0 0.0181974
41.4 -180.0 17.0 0.0 0.01825235
41.4 -180.0 18.0 0.0 0.01826341
41.4 -180.0 19.0 0.0 0.01826965
41.4 -180.0 20.0 0.0 0.01826342
41.4 -180.0 21.0 0.0 0.01834369
41.4 -180.0 22.0 0.0 0.01851691
41.4 -180.0 23.0 0.0 0.01868668
41.4 -180.0 24.0 0.0 0.01877477
41.4 -180.0 25.0 0.0 0.01875135
41.4 -180.0 26.0 0.0 0.01875585
41.4 -180.0 27.0 0.0 0.01880947
41.4 -180.0 28.0 0.0 0.0189003
41.4 -180.0 29.0 0.0 0.01897626
41.4 -180.0 30.0 0.0 0.01894536
41.4 -180.0 31.0 0.0 0.018885
41.4 -180.0 32.0 0.0 0.0188537
41.4 -180.0 33.0 0.0 0.01889157
41.4 -180.0 34.0 0.0 0.01899758
41.4 -180.0 35.0 0.0 0.01913757
41.4 -180.0 36.0 0.0 0.01926413
41.4 -180.0 37.0 0.0 0.01937508
41.4 -180.0 38.0 0.0 0.01951251
41.4 -180.0 39.0 0.0 0.01960792
41.4 -180.0 40.0 0.0 0.01971473
41.4 -180.0 41.0 0.0 0.01981738
41.4 -180.0 42.0 0.0 0.01993429
41.4 -180.0 43.0 0.0 0.01995589
41.4 -180.0 44.0 0.0 0.02005505
41.4 -180.0 45.0 0.0 0.02023284
41.4 -180.0 46.0 0.0 0.02022031
41.4 -180.0 47.0 0.0 0.02013354
41.4 -180.0 48.0 0.0 0.02020874
41.4 -180.0 49.0 0.0 0.02035948
41.4 -180.0 50.0 0.0 0.02048879
41.4 -180.0 51.0 0.0 0.02062345
41.4 -180.0 52.0 0.0 0.02065814
41.4 -180.0 53.0 0.0 0.02075034
41.4 -180.0 54.0 0.0 0.02095048
41.4 -180.0 55.0 0.0 0.02120446
41.4 -180.0 56.0 0.0 0.02149133
41.4 -180.0 57.0 0.0 0.02161595
41.4 -180.0 58.0 0.0 0.0216768
41.4 -180.0 59.0 0.0 0.02160767
41.4 -180.0 60.0 0.0 0.02153624
41.4 -180.0 61.0 0.0 0.02149202
41.4 -180.0 62.0 0.0 0.02146296
41.4 -180.0 63.0 0.0 0.02143906
41.4 -180.0 64.0 0.0 0.02139886
41.4 -180.0 65.0 0.0 0.021298
41.4 -180.0 66.0 0.0 0.02123149
41.4 -180.0 67.0 0.0 0.02127343
41.4 -180.0 68.0 0.0 0.02142234
41.4 -180.0 69.0 0.0 0.02152312
41.4 -180.0 70.0 0.0 0.02156552
41.4 -180.0 71.0 0.0 0.02169067
41.4 -180.0 72.0 0.0 0.02186542
41.4 -180.0 73.0 0.0 0.02186316
41.4 -180.0 74.0 0.0 0.02175512
41.4 -180.0 75.0 0.0 0.02163044
41.4 -180.0 76.0 0.0 0.0214673
41.4 -180.0 90.0 0.0 0.0214673
60.0 -180.0 -90.0 0.0 0.01434199
60.0 -180.0 -69.0 0.0 0.01434199
60.0 -180.0 -68.0 0.0 0.01436385
60.0 -180.0 -67.0 0.0 0.01437257
60.0 -180.0 -66.0 0.0 0.01427243
60.0 -180.0 -65.0 0.0 0.01435221
60.0 -180.0 -64.0 0.0 0.01456257
60.0 -180.0 -63.0 0.0 0.01504815
60.0 -180.0 -62.0 0.0 0.01555775
60.0 -180.0 -61.0 0.0 0.01564101
60.0 -180.0 -60.0 0.0 0.01580295
60.0 -180.0 -59.0 0.0 0.01569492
60.0 -180.0 -58.0 0.0 0.0156362
60.0 -180.0 -57.0 0.0 0.01546915
60.0 -180.0 -56.0 0.0 0.01514432
60.0 -180.0 -55.0 0.0 0.01479007
60.0 -180.0 -54.0 0.0 0.01447872
60.0 -180.0 -53.0 0.0 0.01422792
60.0 -180.0 -52.0 0.0 0.01354815
60.0 -180.0 -51.0 0.0 0.01384728
60.0 -180.0 -50.0 0.0 0.01375386
60.0 -180.0 -49.0 0.0 0.01396127
60.0 -180.0 -48.0 0.0 0.0147227
60.0 -180.0 -47.0 0.0 0.01561866
60.0 -180.0 -46.0 0.0 0.0155389
60.0 -180.0 -45.0 0.0 0.01500416
60.0 -180.0 -44.0 0.0 0.01535108
60.0 -180.0 -43.0 0.0 0.01529196
60.0 -180.0 -42.0 0.0 0.01543886
60.0 -180.0 -41.0 0.0 0.01534238
60.0 -180.0 -40.0 0.0 0.01539468
60.0 -180.0 -39.0 0.0 0.01562136
60.0 -180.0 -38.0 0.0 0.01514907
60.0 -180.0 -37.0 0.0 0.01483429
60.0 -180.0 -36.0 0.0 0.01479681
60.0 -180.0 -35.0 0.0 0.0148044
60.0 -180.0 -34.0 0.0 0.0147627
60.0 -180.0 -33.0 0.0 0.01484072
60.0 -180.0 -32.0 0.0 0.01507418
60.0 -180.0 -31.0 0.0 0.01530741
60.0 -180.0 -30.0 0.0 0.01524849
60.0 -180.0 -29.0 0.0 0.01534037
60.0 -180.0 -28.0 0.0 0.0155661
60.0 -180.0 -27.0 0.0 0.01572652
60.0 -180.0 -26.0 0.0 0.01566905
60.0 -180.0 -25.0 0.0 0.01530408
60.0 -180.0 -24.0 0.0 0.01513715
60.0 -180.0 -23.0 0.0 0.01522502
60.0 -180.0 -22.0 0.0 0.01538524
60.0 -180.0 -21.0 0.0 0.01544354
60.0 -180.0 -20.0 0.0 0.01568326
60.0 -180.0 -19.0 0.0 0.01582502
60.0 -180.0 -18.0 0.0 0.01583781
60.0 -180.0 -17.0 0.0 0.01576335
60.0 -180.0 -16.0 0.0 0.01612032
60.0 -180.0 -15.0 0.0 0.01614852
60.0 -180.0 -14.0 0.0 0.01641036
60.0 -180.0 -13.0 0.0 0.01628943
60.0 -180.0 -12.0 0.0 0.01631341
60.0 -180.0 -11.0 0.0 0.01656296
60.0 -180.0 -10.0 0.0 0.01635067
60.0 -180.0 -9.0 0.0 0.01625838
60.0 -180.0 -8.0 0.0 0.01661159
60.0 -180.0 -7.0 0.0 0.01665779
60.0 -180.0 -6.0 0.0 0.0164281
60.0 -180.0 -5.0 0.0 0.01666161
60.0 -180.0 -4.0 0.0 0.01692445
60.0 -180.0 -3.0 0.0 0.01691904
60.0 -180.0 -2.0 0.0 0.01681694
60.0 -180.0 -1.0 0.0 0.01677279
60.0 -180.0 0.0 0.0 0.01684885
60.0 -180.0 1.0 0.0 0.01673711
60.0 -180.0 2.0 0.0 0.01681162
60.0 -180.0 3.0 0.0 0.01682066
60.0 -180.0 4.0 0.0 0.01706778
60.0 -180.0 5.0 0.0 0.01750199
60.0 -180.0 6.0 0.0 0.01763826
60.0 -180.0 7.0 0.0 0.01765598
60.0 -180.0 8.0 0.0 0.01783107
60.0 -180.0 9.0 0.0 0.01807268
60.0 -180.0 10.0 0.0 0.01817503
60.0 -180.0 11.0 0.0 0.01818387
60.0 -180.0 12.0 0.0 0.01842825
60.0 -180.0 13.0 0.0 0.01858335
60.0 -180.0 14.0 0.0 0.01864484
60.0 -180.0 15.0 0.0 0.01883204
60.0 -180.0 16.0 0.0 0.01906237
60.0 -180.0 17.0 0.0 0.01907796
60.0 -180.0 18.0 0.0 0.01891949
60.0 -180.0 19.0 0.0 0.01867556
60.0 -180.0 20.0 0.0 0.0188562
60.0 -180.0 21.0 0.0 0.01940232
60.0 -180.0 22.0 0.0 0.01945276
60.0 -180.0 23.0 0.0 0.0197145
60.0 -180.0 24.0 0.0 0.01995465
60.0 -180.0 25.0 0.0 0.02006582
60.0 -180.0 26.0 0.0 0.0203527
60.0 -180.0 27.0 0.0 0.02069618
60.0 -180.0 28.0 0.0 0.02076955
60.0 -180.0 29.0 0.0 0.02101434
60.0 -180.0 30.0 0.0 0.02120011
60.0 -180.0 31.0 0.0 0.02139468
60.0 -180.0 32.0 0.0 0.02147049
60.0 -180.0 33.0 0.0 0.02167506
60.0 -180.0 34.0 0.0 0.02194964
60.0 -180.0 35.0 0.0 0.02251044
60.0 -180.0 36.0 0.0 0.02282109
60.0 -180.0 37.0 0.0 0.02319126
60.0 -180.0 38.0 0.0 0.02357656
60.0 -180.0 39.0 0.0 0.02361286
60.0 -180.0 40.0 0.0 0.02364876
60.0 -180.0 41.0 0.0 0.02417014
60.0 -180.0 42.0 0.0 0.0248289
60.0 -180.0 43.0 0.0 0.02545144
60.0 -180.0 44.0 0.0 0.02555385
60.0 -180.0 45.0 0.0 0.02585729
60.0 -180.0 46.0 0.0 0.02646502
60.0 -180.0 47.0 0.0 0.02715348
60.0 -180.0 48.0 0.0 0.02796638
60.0 -180.0 49.0 0.0 0.02888962
60.0 -180.0 50.0 0.0 0.02915052
60.0 -180.0 51.0 0.0 0.02940498
60.0 -180.0 52.0 0.0 0.02992776
60.0 -180.0 53.0 0.0 0.03008658
60.0 -180.0 54.0 0.0 0.0307235
60.0 -180.0 55.0 0.0 0.03285254
60.0 -180.0 56.0 0.0 0.03409577
60.0 -180.0 57.0 0.0 0.03466109
60.0 -180.0 58.0 0.0 0.03636804
60.0 -180.0 59.0 0.0 0.03912977
60.0 -180.0 60.0 0.0 0.04113391
60.0 -180.0 61.0 0.0 0.04298976
60.0 -180.0 62.0 0.0 0.04394764
60.0 -180.0 63.0 0.0 0.04506534
60.0 -180.0 64.0 0.0 0.0465094
60.0 -180.0 65.0 0.0 0.04791058
60.0 -180.0 66.0 0.0 0.0495381
60.0 -180.0 67.0 0.0 0.05092959
60.0 -180.0 68.0 0.0 0.05222854
60.0 -180.0 69.0 0.0 0.05355213
60.0 -180.0 70.0 0.0 0.05490723
60.0 -180.0 71.0 0.0 0.05600491
60.0 -180.0 72.0 0.0 0.05790045
60.0 -180.0 73.0 0.0 0.05974644
60.0 -180.0 74.0 0.0 0.06152951
60.0 -180.0 75.0 0.0 0.06324658
60.0 -180.0 76.0 0.0 0.05903014
60.0 -180.0 77.0 0.0 0.0548137
60.0 -180.0 78.0 0.0 0.05059726
60.0 -180.0 79.0 0.0 0.04638082
60.0 -180.0 80.0 0.0 0.04216438
60.0 -180.0 81.0 0.0 0.03794795
60.0 -180.0 82.0 0.0 0.03373151
60.0 -180.0 83.0 0.0 0.02951507
60.0 -180.0 84.0 0.0 0.02529863
60.0 -180.0 85.0 0.0 0.02108219
60.0 -180.0 86.0 0.0 0.01686575
60.0 -180.0 87.0 0.0 0.01264932
60.0 -180.0 88.0 0.0 0.008432877
60.0 -180.0 89.0 0.0 0.004216438
60.0 -180.0 90.0 0.0 5.551547e-17
75.0 -180.0 -90.0 0.0 0.01555775
75.0 -180.0 -47.0 0.0 0.01555775
75.0 -180.0 -46.0 0.0 0.01564101
75.0 -180.0 -45.0 0.0 0.01580295
75.0 -180.0 -44.0 0.0 0.01569492
75.0 -180.0 -43.0 0.0 0.0156362
75.0 -180.0 -42.0 0.0 0.01546915
75.0 -180.0 -41.0 0.0 0.01514432
75.0 -180.0 -40.0 0.0 0.01479007
75.0 -180.0 -39.0 0.0 0.01447872
75.0 -180.0 -38.0 0.0 0.01422792
75.0 -180.0 -37.0 0.0 0.01354815
75.0 -180.0 -36.0 0.0 0.01384728
75.0 -180.0 -35.0 0.0 0.01375386
75.0 -180.0 -34.0 0.0 0.01396127
75.0 -180.0 -33.0 0.0 0.0147227
75.0 -180.0 -32.0 0.0 0.01561866
75.0 -180.0 -31.0 0.0 0.0155389
75.0 -180.0 -30.0 0.0 0.01500416
75.0 -180.0 -29.0 0.0 0.01535108
75.0 -180.0 -28.0 0.0 0.01529196
75.0 -180.0 -27.0 0.0 0.01543886
75.0 -180.0 -26.0 0.0 0.01534238
75.0 -180.0 -25.0 0.0 0.01539468
75.0 -180.0 -24.0 0.0 0.01562136
75.0 -180.0 -23.0 0.0 0.01514907
75.0 -180.0 -22.0 0.0 0.01483429
75.0 -180.0 -21.0 0.0 0.01479681
75.0 -180.0 -20.0 0.0 0.0148044
75.0 -180.0 -19.0 0.0 0.0147627
75.0 -180.0 -18.0 0.0 0.01484072
75.0 -180.0 -17.0 0.0 0.01507418
75.0 -180.0 -16.0 0.0 0.01530741
75.0 -180.0 -15.0 0.0 0.01524849
75.0 -180.0 -14.0 0.0 0.01534037
75.0 -180.0 -13.0 0.0 0.0155661
75.0 -180.0 -12.0 0.0 0.01572652
75.0 -180.0 -11.0 0.0 0.01566905
75.0 -180.0 -10.0 0.0 0.01530408
75.0 -180.0 -9.0 0.0 0.01513715
75.0 -180.0 -8.0 0.0 0.01522502
75.0 -180.0 -7.0 0.0 0.01538524
75.0 -180.0 -6.0 0.0 0.01544354
75.0 -180.0 -5.0 0.0 0.01568326
75.0 -180.0 -4.0 0.0 0.01582502
75.0 -180.0 -3.0 0.0 0.01583781
75.0 -180.0 -2.0 0.0 0.01576335
75.0 -180.0 -1.0 0.0 0.01612032
75.0 -180.0 0.0 0.0 0.01614852
75.0 -180.0 1.0 0.0 0.01641036
75.0 -180.0 2.0 0.0 0.01628943
75.0 -180.0 3.0 0.0 0.01631341
75.0 -180.0 4.0 0.0 0.01656296
75.0 -180.0 5.0 0.0 0.01635067
75.0 -180.0 6.0 0.0 0.01625838
75.0 -180.0 7.0 0.0 0.01661159
75.0 -180.0 8.0 0.0 0.01665779
75.0 -180.0 9.0 0.0 0.0164281
75.0 -180.0 10.0 0.0 0.01666161
75.0 -180.0 11.0 0.0 0.01692445
75.0 -180.0 12.0 0.0 0.01691904
75.0 -180.0 13.0 0.0 0.01681694
75.0 -180.0 14.0 0.0 0.01677279
75.0 -180.0 15.0 0.0 0.01684885
75.0 -180.0 16.0 0.0 0.01673711
75.0 -180.0 17.0 0.0 0.01681162
75.0 -180.0 18.0 0.0 0.01682066
75.0 -180.0 19.0 0.0 0.01706778
75.0 -180.0 20.0 0.0 0.01750199
75.0 -180.0 21.0 0.0 0.01763826
75.0 -180.0 22.0 0.0 0.01765598
75.0 -180.0 23.0 0.0 0.01783107
75.0 -180.0 24.0 0.0 0.01807268
75.0 -180.0 25.0 0.0 0.01817503
75.0 -180.0 26.0 0.0 0.01818387
75.0 -180.0 27.0 0.0 0.01842825
75.0 -180.0 28.0 0.0 0.01858335
75.0 -180.0 29.0 0.0 0.01864484
75.0 -180.0 30.0 0.0 0.01883204
75.0 -180.0 31.0 0.0 0.01906237
75.0 -180.0 32.0 0.0 0.01907796
75.0 -180.0 33.0 0.0 0.01891949
75.0 -180.0 34.0 0.0 0.01867556
75.0 -180.0 35.0 0.0 0.0188562
75.0 -180.0 36.0 0.0 0.01940232
75.0 -180.0 37.0 0.0 0.01945276
75.0 -180.0 38.0 0.0 0.0197145
75.0 -180.0 39.0 0.0 0.01995465
75.0 -180.0 40.0 0.0 0.02006582
75.0 -180.0 41.0 0.0 0.0203527
75.0 -180.0 42.0 0.0 0.02069618
75.0 -180.0 43.0 0.0 0.02076955
75.0 -180.0 44.0 0.0 0.02101434
75.0 -180.0 45.0 0.0 0.02120011
75.0 -180.0 46.0 0.0 0.02139468
75.0 -180.0 47.0 0.0 0.02147049
75.0 -180.0 48.0 0.0 0.02167506
75.0 -180.0 49.0 0.0 0.02194964
75.0 -180.0 50.0 0.0 0.02251044
75.0 -180.0 51.0 0.0 0.02282109
75.0 -180.0 52.0 0.0 0.02319126
75.0 -180.0 53.0 0.0 0.02357656
75.0 -180.0 54.0 0.0 0.02361286
75.0 -180.0 55.0 0.0 0.02364876
75.0 -180.0 56.0 0.0 0.02417014
75.0 -180.0 57.0 0.0 0.0248289
75.0 -180.0 58.0 0.0 0.02545144
75.0 -180.0 59.0 0.0 0.02555385
75.0 -180.0 60.0 0.0 0.02585729
75.0 -180.0 61.0 0.0 0.02646502
75.0 -180.0 62.0 0.0 0.02715348
75.0 -180.0 63.0 0.0 0.02796638
75.0 -180.0 64.0 0.0 0.02888962
75.0 -180.0 65.0 0.0 0.02915052
75.0 -180.0 66.0 0.0 0.02940498
75.0 -180.0 67.0 0.0 0.02992776
75.0 -180.0 68.0 0.0 0.03008658
75.0 -180.0 69.0 0.0 0.0307235
75.0 -180.0 70.0 0.0 0.03285254
75.0 -180.0 71.0 0.0 0.03409577
75.0 -180.0 72.0 0.0 0.03466109
75.0 -180.0 73.0 0.0 0.03636804
75.0 -180.0 74.0 0.0 0.03912977
75.0 -180.0 75.0 0.0 0.04113391
75.0 -180.0 76.0 0.0 0.04298976
75.0 -180.0 77.0 0.0 0.04394764
75.0 -180.0 78.0 0.0 0.04506534
75.0 -180.0 79.0 0.0 0.0465094
75.0 -180.0 80.0 0.0 0.04791058
