phi_i theta_i phi_o theta_o brdf
41.4 -180.0 21.4 0.0 0.00175
41.4 -180.0 22.4 0.0 0.00185
41.4 -180.0 23.4 0.0 0.00222
41.4 -180.0 24.4 0.0 0.00309
41.4 -180.0 25.4 0.0 0.00408
41.4 -180.0 26.4 0.0 0.00427
41.4 -180.0 27.4 0.0 0.00616
41.4 -180.0 28.4 0.0 0.0072
41.4 -180.0 29.4 0.0 0.00661
41.4 -180.0 30.4 0.0 0.00774
41.4 -180.0 31.4 0.0 0.0117
41.4 -180.0 32.4 0.0 0.012
41.4 -180.0 33.4 0.0 0.02
41.4 -180.0 34.4 0.0 0.0302
41.4 -180.0 35.4 0.0 0.0535
41.4 -180.0 36.4 0.0 0.33
41.4 -180.0 37.4 0.0 1.07
41.4 -180.0 38.4 0.0 1.59
41.4 -180.0 39.4 0.0 2.46
41.4 -180.0 40.4 0.0 3.47
41.4 -180.0 41.4 0.0 4.92
41.4 -180.0 42.4 0.0 8.6
41.4 -180.0 43.4 0.0 1040.0
41.4 -180.0 44.4 0.0 40.9
41.4 -180.0 45.4 0.0 5.11
41.4 -180.0 46.4 0.0 2.02
41.4 -180.0 47.4 0.0 0.936
41.4 -180.0 48.4 0.0 0.308
41.4 -180.0 49.4 0.0 0.16
41.4 -180.0 50.4 0.0 0.145
41.4 -180.0 51.4 0.0 0.13
41.4 -180.0 52.4 0.0 0.0783
41.4 -180.0 53.4 0.0 0.0878
41.4 -180.0 54.4 0.0 0.0425
41.4 -180.0 55.4 0.0 0.0
41.4 -180.0 56.4 0.0 0.0
41.4 -180.0 57.4 0.0 0.0
41.4 -180.0 58.4 0.0 0.0
41.4 -180.0 59.4 0.0 0.0
41.4 -180.0 90.0 0.0 0.0
60.0 -180.0 -90.0 0.0 0.0
60.0 -180.0 -89.0 0.0 0.0
60.0 -180.0 -88.0 0.0 0.0
60.0 -180.0 -87.0 0.0 0.00128
60.0 -180.0 -86.0 0.0 0.000609
60.0 -180.0 -85.0 0.0 0.000532
60.0 -180.0 -84.0 0.0 0.000406
60.0 -180.0 -83.0 0.0 0.0
60.0 -180.0 -82.0 0.0 0.0
60.0 -180.0 -81.0 0.0 0.0
60.0 -180.0 -80.0 0.0 0.0
60.0 -180.0 -79.0 0.0 0.0
60.0 -180.0 -78.0 0.0 0.0
60.0 -180.0 -77.0 0.0 0.0
60.0 -180.0 -76.0 0.0 0.0
60.0 -180.0 -75.0 0.0 0.0
60.0 -180.0 -74.0 0.0 0.0
60.0 -180.0 -73.0 0.0 0.0
60.0 -180.0 -72.0 0.0 0.0
60.0 -180.0 -71.0 0.0 0.0
60.0 -180.0 -70.0 0.0 0.0
60.0 -180.0 -69.0 0.0 0.0
60.0 -180.0 -68.0 0.0 0.0
60.0 -180.0 -67.0 0.0 0.0
60.0 -180.0 -66.0 0.0 0.0
60.0 -180.0 -65.0 0.0 0.0
60.0 -180.0 -64.0 0.0 0.0
60.0 -180.0 -63.0 0.0 0.000221
60.0 -180.0 -62.0 0.0 0.00019
60.0 -180.0 -61.0 0.0 0.000177
60.0 -180.0 -60.0 0.0 0.000185
60.0 -180.0 -59.0 0.0 0.000174
60.0 -180.0 -58.0 0.0 0.000164
60.0 -180.0 -57.0 0.0 0.00019
60.0 -180.0 -56.0 0.0 0.000186
60.0 -180.0 -55.0 0.0 0.000177
60.0 -180.0 -54.0 0.0 0.000155
60.0 -180.0 -53.0 0.0 0.000146
60.0 -180.0 -52.0 0.0 0.00014
60.0 -180.0 -51.0 0.0 0.000142
60.0 -180.0 -50.0 0.0 0.000146
60.0 -180.0 -49.0 0.0 0.000142
60.0 -180.0 -48.0 0.0 0.00015
60.0 -180.0 -47.0 0.0 0.000137
60.0 -180.0 -46.0 0.0 0.000152
60.0 -180.0 -45.0 0.0 0.000139
60.0 -180.0 -44.0 0.0 0.000149
60.0 -180.0 -43.0 0.0 0.000148
60.0 -180.0 -42.0 0.0 0.000147
60.0 -180.0 -41.0 0.0 0.000147
60.0 -180.0 -40.0 0.0 0.00014
60.0 -180.0 -39.0 0.0 0.00014
60.0 -180.0 -38.0 0.0 0.000142
60.0 -180.0 -37.0 0.0 0.000126
60.0 -180.0 -36.0 0.0 0.000123
60.0 -180.0 -35.0 0.0 0.000148
60.0 -180.0 -34.0 0.0 0.000128
60.0 -180.0 -33.0 0.0 0.000137
60.0 -180.0 -32.0 0.0 0.000134
60.0 -180.0 -31.0 0.0 0.000124
60.0 -180.0 -30.0 0.0 0.000124
60.0 -180.0 -29.0 0.0 0.00013
60.0 -180.0 -28.0 0.0 0.000113
60.0 -180.0 -27.0 0.0 0.000124
60.0 -180.0 -26.0 0.0 0.000135
60.0 -180.0 -25.0 0.0 0.000133
60.0 -180.0 -24.0 0.0 0.00013
60.0 -180.0 -23.0 0.0 0.000141
60.0 -180.0 -22.0 0.0 0.000141
60.0 -180.0 -21.0 0.0 0.000133
60.0 -180.0 -20.0 0.0 0.00014
60.0 -180.0 -19.0 0.0 0.00013
60.0 -180.0 -18.0 0.0 0.000125
60.0 -180.0 -17.0 0.0 0.000149
60.0 -180.0 -16.0 0.0 0.000149
60.0 -180.0 -15.0 0.0 0.000138
60.0 -180.0 -14.0 0.0 0.000123
60.0 -180.0 -13.0 0.0 0.000127
60.0 -180.0 -12.0 0.0 0.000144
60.0 -180.0 -11.0 0.0 0.000156
60.0 -180.0 -10.0 0.0 0.000165
60.0 -180.0 -9.0 0.0 0.000157
60.0 -180.0 -8.0 0.0 0.000127
60.0 -180.0 -7.0 0.0 0.000119
60.0 -180.0 -6.0 0.0 0.000125
60.0 -180.0 -5.0 0.0 0.000117
60.0 -180.0 -4.0 0.0 0.000126
60.0 -180.0 -3.0 0.0 0.000134
60.0 -180.0 -2.0 0.0 0.000136
60.0 -180.0 -1.0 0.0 0.000132
60.0 -180.0 0.0 0.0 0.00014
60.0 -180.0 1.0 0.0 0.000145
60.0 -180.0 2.0 0.0 0.000174
60.0 -180.0 3.0 0.0 0.000225
60.0 -180.0 4.0 0.0 0.000237
60.0 -180.0 5.0 0.0 0.000216
60.0 -180.0 6.0 0.0 0.000237
60.0 -180.0 7.0 0.0 0.000201
60.0 -180.0 8.0 0.0 0.0002
60.0 -180.0 9.0 0.0 0.000264
60.0 -180.0 10.0 0.0 0.000256
60.0 -180.0 11.0 0.0 0.000225
60.0 -180.0 12.0 0.0 0.000261
60.0 -180.0 13.0 0.0 0.000283
60.0 -180.0 14.0 0.0 0.000266
60.0 -180.0 15.0 0.0 0.000323
60.0 -180.0 16.0 0.0 0.000442
60.0 -180.0 17.0 0.0 0.000343
60.0 -180.0 18.0 0.0 0.000389
60.0 -180.0 19.0 0.0 0.000417
60.0 -180.0 20.0 0.0 0.000446
60.0 -180.0 21.0 0.0 0.000654
60.0 -180.0 22.0 0.0 0.000415
60.0 -180.0 23.0 0.0 0.000419
60.0 -180.0 24.0 0.0 0.000391
60.0 -180.0 25.0 0.0 0.000502
60.0 -180.0 26.0 0.0 0.00053
60.0 -180.0 27.0 0.0 0.000822
60.0 -180.0 28.0 0.0 0.000658
60.0 -180.0 29.0 0.0 0.000781
60.0 -180.0 30.0 0.0 0.000787
